alphas.0	alphas.1	alphau.0	alphau.1	q
1.125114	0.375258	15.543037	0.169473	0.478511
1.125111	0.375259	12.743839	0.169473	0.489597
1.125112	0.375260	12.779633	0.169473	0.525850
1.125119	0.375259	12.779633	0.169473	0.498171
1.125115	0.375259	10.472921	0.169473	0.538611
1.125106	0.375259	10.251027	0.169473	0.541223
1.125098	0.375259	12.603472	0.169473	0.487601
1.125102	0.375259	12.603472	0.169473	0.508572
1.125099	0.375259	12.603472	0.169473	0.493440
1.125094	0.375260	12.603472	0.169473	0.486851
1.125085	0.375260	12.603472	0.169473	0.489200
1.125087	0.375260	12.603472	0.169473	0.558121
1.125082	0.375260	10.840181	0.169473	0.523217
1.125073	0.375260	10.840181	0.169473	0.521974
1.125071	0.375259	13.092001	0.169473	0.562386
1.125070	0.375259	11.688183	0.169473	0.530023
1.125077	0.375260	15.631457	0.169473	0.526336
1.125068	0.375260	16.819850	0.169473	0.546972
1.125069	0.375259	14.112649	0.169473	0.519483
1.125075	0.375259	13.418087	0.169473	0.457967
1.125074	0.375260	13.418087	0.169473	0.530406
1.125072	0.375261	15.567656	0.169473	0.567800
1.125077	0.375261	15.567656	0.169472	0.553806
1.125087	0.375262	15.567656	0.169473	0.484772
1.125086	0.375261	15.567656	0.169472	0.594514
1.125091	0.375260	15.466023	0.169472	0.485463
1.125089	0.375261	16.010630	0.169472	0.554656
1.125084	0.375260	17.124765	0.169472	0.493991
1.125085	0.375261	17.124765	0.169473	0.539696
1.125079	0.375260	13.923000	0.169473	0.563793
1.125076	0.375260	12.943747	0.169473	0.537898
1.125071	0.375260	11.830024	0.169473	0.503133
1.125071	0.375260	13.387154	0.169473	0.559188
1.125067	0.375260	13.387154	0.169473	0.549727
1.125071	0.375260	13.387154	0.169473	0.512136
1.125073	0.375260	13.884910	0.169473	0.521972
1.125067	0.375260	14.816682	0.169473	0.567419
1.125072	0.375261	10.295266	0.169474	0.480322
1.125071	0.375261	14.213347	0.169474	0.517242
1.125069	0.375260	10.765895	0.169474	0.511909
1.125076	0.375261	10.765895	0.169474	0.455743
1.125076	0.375259	10.765895	0.169474	0.463223
1.125077	0.375259	9.292757	0.169475	0.546931
1.125073	0.375258	8.906853	0.169474	0.503830
1.125070	0.375258	11.530168	0.169474	0.546486
1.125067	0.375257	11.530168	0.169475	0.568186
1.125065	0.375258	10.069609	0.169475	0.569076
1.125069	0.375258	10.069609	0.169475	0.546554
1.125061	0.375258	13.556781	0.169474	0.530338
1.125056	0.375259	10.108848	0.169474	0.594058
1.125044	0.375259	10.583482	0.169474	0.586930
1.125042	0.375259	10.583482	0.169474	0.503076
1.125043	0.375258	11.203661	0.169474	0.536711
1.125039	0.375259	11.840669	0.169474	0.554271
1.125040	0.375259	11.840669	0.169474	0.469545
1.125041	0.375259	11.840669	0.169474	0.528094
1.125042	0.375259	14.927594	0.169474	0.552878
1.125045	0.375259	15.178941	0.169474	0.514850
1.125049	0.375259	15.178941	0.169474	0.578924
1.125047	0.375258	13.807885	0.169475	0.564202
1.125047	0.375258	10.886357	0.169475	0.527174
1.125050	0.375259	10.886357	0.169475	0.540786
1.125046	0.375258	15.858869	0.169475	0.510451
1.125042	0.375258	16.844404	0.169475	0.584660
1.125046	0.375257	16.844404	0.169475	0.526297
1.125041	0.375258	15.381321	0.169475	0.517018
1.125041	0.375259	15.381321	0.169475	0.484825
1.125035	0.375259	10.445517	0.169475	0.554233
1.125033	0.375259	11.662982	0.169475	0.540752
1.125033	0.375260	11.662982	0.169475	0.545721
1.125031	0.375261	11.662982	0.169475	0.563009
1.125032	0.375259	10.448285	0.169475	0.473490
1.125027	0.375261	7.899333	0.169475	0.464464
1.125026	0.375261	11.440249	0.169475	0.499660
1.125031	0.375261	11.839497	0.169475	0.521505
1.125028	0.375261	11.839497	0.169475	0.563428
1.125041	0.375259	11.839497	0.169475	0.573489
1.125040	0.375259	13.619975	0.169475	0.557667
1.125038	0.375259	10.722112	0.169476	0.572716
1.125041	0.375260	10.722112	0.169475	0.454925
1.125041	0.375259	10.722112	0.169475	0.523597
1.125035	0.375260	10.354560	0.169476	0.531611
1.125041	0.375260	10.354560	0.169475	0.470338
1.125041	0.375260	10.354560	0.169475	0.520191
1.125042	0.375261	10.354560	0.169475	0.510426
1.125043	0.375262	10.354560	0.169475	0.477387
1.125043	0.375262	12.595149	0.169475	0.503522
1.125043	0.375262	12.595149	0.169475	0.573510
1.125042	0.375262	11.472581	0.169475	0.534325
1.125036	0.375263	11.595027	0.169475	0.472677
1.125041	0.375263	10.013574	0.169475	0.500876
1.125040	0.375263	12.656099	0.169475	0.479927
1.125039	0.375264	12.656099	0.169475	0.500798
1.125038	0.375263	12.656099	0.169475	0.530048
1.125037	0.375263	12.656099	0.169475	0.521976
1.125035	0.375263	12.656099	0.169475	0.515187
1.125033	0.375263	12.656099	0.169475	0.496269
1.125028	0.375263	12.656099	0.169475	0.550118
1.125024	0.375262	12.656099	0.169475	0.586935
1.125030	0.375263	12.656099	0.169475	0.535534
1.125032	0.375262	15.341146	0.169476	0.512133
1.125035	0.375261	15.341146	0.169476	0.444600
1.125038	0.375261	15.341146	0.169476	0.476219
1.125034	0.375260	15.318602	0.169476	0.484024
1.125028	0.375261	13.361629	0.169476	0.574750
1.125031	0.375261	10.760841	0.169476	0.568705
1.125034	0.375262	14.007172	0.169475	0.514547
1.125035	0.375262	14.007172	0.169476	0.594290
1.125031	0.375262	14.928798	0.169476	0.498013
1.125030	0.375262	14.928798	0.169476	0.552834
1.125022	0.375262	11.224727	0.169476	0.562006
1.125014	0.375262	11.224727	0.169475	0.546390
1.125012	0.375262	11.224727	0.169475	0.503538
1.125014	0.375262	12.279399	0.169475	0.518000
1.125018	0.375261	11.004421	0.169475	0.541604
1.125012	0.375261	13.120506	0.169475	0.490596
1.125015	0.375260	13.120506	0.169475	0.524145
1.125014	0.375260	13.120506	0.169475	0.513082
1.125018	0.375260	13.120506	0.169476	0.480368
1.125024	0.375260	14.845805	0.169475	0.541228
1.125024	0.375260	14.845805	0.169476	0.488179
1.125032	0.375261	13.267890	0.169476	0.574758
1.125027	0.375262	15.758676	0.169476	0.607027
1.125030	0.375262	17.392780	0.169476	0.550002
1.125036	0.375262	12.685700	0.169476	0.486010
1.125034	0.375263	12.685700	0.169476	0.471180
1.125038	0.375262	14.944974	0.169476	0.523311
1.125038	0.375263	14.944974	0.169476	0.532804
1.125039	0.375263	13.830276	0.169476	0.583563
1.125045	0.375262	13.830276	0.169476	0.500317
1.125048	0.375262	13.830276	0.169476	0.463399
1.125047	0.375263	10.623754	0.169476	0.519009
1.125048	0.375263	10.623754	0.169476	0.537991
1.125050	0.375264	12.437961	0.169476	0.486984
1.125043	0.375264	12.640702	0.169476	0.492798
1.125044	0.375264	10.764646	0.169476	0.530048
1.125037	0.375264	12.862628	0.169476	0.471923
1.125027	0.375263	14.320825	0.169476	0.470685
1.125018	0.375263	12.890861	0.169476	0.479664
1.125021	0.375263	14.280478	0.169476	0.530454
1.125025	0.375263	15.480305	0.169476	0.487118
1.125018	0.375265	15.480305	0.169476	0.554522
1.125017	0.375265	14.899312	0.169476	0.512050
1.125021	0.375265	14.899312	0.169477	0.528052
1.125013	0.375265	15.077287	0.169477	0.539615
1.125015	0.375265	12.162856	0.169477	0.522601
1.125020	0.375264	12.162856	0.169476	0.515495
1.125021	0.375264	11.654875	0.169476	0.599708
1.125021	0.375263	11.654875	0.169476	0.477420
1.125013	0.375263	9.085577	0.169476	0.505956
1.125012	0.375263	9.085577	0.169477	0.500639
1.125004	0.375263	10.837298	0.169477	0.529443
1.125005	0.375264	13.032507	0.169477	0.468043
1.125000	0.375263	13.032507	0.169476	0.515778
1.125006	0.375263	13.032507	0.169476	0.541846
1.125005	0.375263	10.787403	0.169476	0.556559
1.125001	0.375263	10.787403	0.169476	0.525172
1.124993	0.375262	9.827550	0.169476	0.493314
1.124995	0.375262	9.827550	0.169476	0.514374
1.124998	0.375263	12.109777	0.169476	0.543099
1.124998	0.375263	10.504589	0.169476	0.530405
1.125001	0.375263	10.384596	0.169476	0.519937
1.125005	0.375263	9.817464	0.169476	0.554543
1.125010	0.375264	9.817464	0.169476	0.532087
1.125015	0.375265	14.893766	0.169476	0.492359
1.125010	0.375265	12.752623	0.169476	0.523848
1.125010	0.375264	12.651382	0.169476	0.559859
1.125010	0.375265	14.045718	0.169476	0.535718
1.125008	0.375265	14.045718	0.169476	0.495870
1.125002	0.375265	14.045718	0.169476	0.521621
1.124990	0.375265	14.777470	0.169476	0.457523
1.124988	0.375265	14.777470	0.169475	0.516578
1.124993	0.375266	14.778419	0.169476	0.539519
1.124997	0.375266	14.778419	0.169475	0.531186
1.124992	0.375265	14.778419	0.169475	0.500673
1.124998	0.375265	10.299882	0.169476	0.482207
1.125004	0.375264	10.299882	0.169476	0.567142
1.125000	0.375264	11.465244	0.169475	0.546464
1.124999	0.375264	10.464340	0.169475	0.632338
1.125004	0.375264	12.323758	0.169475	0.533718
1.125008	0.375263	11.988598	0.169475	0.560501
1.125008	0.375263	11.883910	0.169475	0.605923
1.125001	0.375264	11.883910	0.169475	0.502491
1.124991	0.375264	11.883910	0.169475	0.552829
1.124989	0.375264	11.883910	0.169475	0.535876
1.124979	0.375264	12.655455	0.169476	0.551930
1.124981	0.375264	10.977670	0.169476	0.505187
